epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.4506,4.10677,4.29937,2.30697,0.00091,0.04615,0.00053,0.00021,3.10194,4.0337,2.00584,8.335e-05,8.335e-05,8.335e-05
2,78.3186,3.58794,4.09545,2.16629,0.00086,0.04615,0.00052,0.00023,3.00132,4.00414,1.9346,0.000179739,0.000179739,0.000179739
3,95.0167,3.33614,4.08123,1.88282,0.00209,0.08462,0.00121,0.0004,3.0708,3.92609,1.8619,0.000272168,0.000272168,0.000272168
4,111.271,3.21556,3.92196,1.74137,0.00385,0.16923,0.00286,0.00078,3.00865,3.86049,1.76639,0.000360635,0.000360635,0.000360635
5,127.743,2.9437,3.76084,1.64619,0.0047,0.20769,0.00454,0.00134,2.84172,3.78231,1.66864,0.000445142,0.000445142,0.000445142
6,143.203,3.02061,3.60378,1.54391,0.00782,0.34359,0.00979,0.00255,2.79432,3.72682,1.61504,0.000525688,0.000525688,0.000525688
7,158.604,2.9093,3.48092,1.54697,0.01122,0.51538,0.01611,0.00419,2.72037,3.62869,1.58732,0.000602274,0.000602274,0.000602274
8,174.419,2.88058,3.29247,1.51295,0.01122,0.51538,0.01611,0.00419,2.72037,3.62869,1.58732,0.000674898,0.000674898,0.000674898
9,190.814,2.69325,3.05327,1.40628,0.01277,0.55385,0.01946,0.0061,2.58983,3.45349,1.53355,0.000743562,0.000743562,0.000743562
10,207.251,2.73223,2.99448,1.42475,0.01689,0.74359,0.06752,0.02083,2.47803,3.19977,1.53827,0.000808265,0.000808265,0.000808265
11,224.582,2.46102,2.58521,1.411,0.01689,0.74359,0.06752,0.02083,2.47803,3.19977,1.53827,0.000869007,0.000869007,0.000869007
12,242.409,2.47291,2.63911,1.37529,0.60416,0.14103,0.27105,0.09278,2.54722,2.82609,1.64687,0.000925788,0.000925788,0.000925788
13,259.462,2.45549,2.32006,1.41632,0.60416,0.14103,0.27105,0.09278,2.54722,2.82609,1.64687,0.000978609,0.000978609,0.000978609
14,277.709,2.44179,2.4878,1.3815,0.60416,0.14103,0.27105,0.09278,2.54722,2.82609,1.64687,0.00102747,0.00102747,0.00102747
15,299.17,2.45686,2.23914,1.39505,0.46189,0.34615,0.32519,0.12054,2.54129,2.60892,1.68222,0.00107237,0.00107237,0.00107237
16,315.145,2.48948,2.12365,1.40589,0.46189,0.34615,0.32519,0.12054,2.54129,2.60892,1.68222,0.00111331,0.00111331,0.00111331
17,330.211,2.36168,2.22131,1.34524,0.54113,0.43256,0.35858,0.11746,2.55684,2.54785,1.68454,0.00113889,0.00113889,0.00113889
18,348.046,2.35225,2.06678,1.35317,0.54113,0.43256,0.35858,0.11746,2.55684,2.54785,1.68454,0.00110589,0.00110589,0.00110589
19,365.997,2.48847,2.09222,1.34468,0.54113,0.43256,0.35858,0.11746,2.55684,2.54785,1.68454,0.00107288,0.00107288,0.00107288
20,382.227,2.33313,2.11341,1.33985,0.4194,0.56181,0.3906,0.15029,2.41551,2.48288,1.57931,0.00103987,0.00103987,0.00103987
21,397.214,2.50505,2.00577,1.35532,0.4194,0.56181,0.3906,0.15029,2.41551,2.48288,1.57931,0.00100687,0.00100687,0.00100687
22,412.29,2.32594,2.03236,1.35403,0.4194,0.56181,0.3906,0.15029,2.41551,2.48288,1.57931,0.000973861,0.000973861,0.000973861
23,427.51,2.27895,2.10454,1.35963,0.39813,0.54103,0.39254,0.14577,2.3887,3.17134,1.55424,0.000940855,0.000940855,0.000940855
24,441.709,2.29071,2.00512,1.32648,0.39813,0.54103,0.39254,0.14577,2.3887,3.17134,1.55424,0.000907848,0.000907848,0.000907848
25,460.251,2.36238,1.93089,1.32801,0.51892,0.41387,0.38382,0.1736,2.28345,2.35301,1.51839,0.000874842,0.000874842,0.000874842
26,476.208,2.34533,1.89689,1.31586,0.51892,0.41387,0.38382,0.1736,2.28345,2.35301,1.51839,0.000841835,0.000841835,0.000841835
27,491.096,2.11725,1.82132,1.23835,0.51892,0.41387,0.38382,0.1736,2.28345,2.35301,1.51839,0.000808828,0.000808828,0.000808828
28,506.457,2.26876,1.88835,1.23436,0.47158,0.44597,0.41728,0.19259,2.23437,1.97906,1.48274,0.000775822,0.000775822,0.000775822
29,521.545,2.37677,1.96332,1.30741,0.47158,0.44597,0.41728,0.19259,2.23437,1.97906,1.48274,0.000742815,0.000742815,0.000742815
30,536.878,2.18582,1.75458,1.26571,0.47158,0.44597,0.41728,0.19259,2.23437,1.97906,1.48274,0.000709809,0.000709809,0.000709809
