epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.203,2.63347,4.47747,2.03739,0.00028,0.03383,0.00035,9e-05,2.44582,5.9925,1.99947,8.574e-05,8.574e-05,8.574e-05
2,226.867,2.49815,4.16554,1.9477,0.00124,0.15959,0.01217,0.00391,2.21157,5.45565,1.74764,0.000183931,0.000183931,0.000183931
3,327.609,2.27944,3.83522,1.67848,0.00185,0.23682,0.01723,0.00641,2.17089,5.22207,1.59427,0.000280141,0.000280141,0.000280141
4,433.587,2.20473,3.2537,1.62188,0.00246,0.28259,0.01316,0.00452,2.14282,5.20468,1.59641,0.000374371,0.000374371,0.000374371
5,524.024,2.15071,2.96205,1.63288,0.0028,0.21361,0.01041,0.00369,2.07883,5.08001,1.61782,0.00046662,0.00046662,0.00046662
6,655.503,2.10787,2.83487,1.60563,0.00267,0.1824,0.01935,0.00727,2.08471,4.91721,1.64495,0.000556888,0.000556888,0.000556888
7,758.979,1.97734,2.70438,1.561,0.7438,0.0122,0.01904,0.011,2.12844,4.7783,1.68276,0.000645176,0.000645176,0.000645176
8,888.404,2.06374,2.60228,1.61089,0.72763,0.0122,0.01495,0.00842,2.21256,4.75187,1.76382,0.000731484,0.000731484,0.000731484
9,987.078,1.96941,2.46796,1.51314,0.00231,0.28075,0.03257,0.0102,2.24394,4.63273,1.75842,0.00081581,0.00081581,0.00081581
10,1093.14,1.95336,2.52161,1.47758,0.69201,0.00607,0.07868,0.03976,2.25913,4.62441,1.85023,0.000898157,0.000898157,0.000898157
11,1194.96,2.03953,2.51114,1.48614,0.00268,0.34109,0.0921,0.04858,2.29635,4.68193,1.84646,0.000978522,0.000978522,0.000978522
12,1291.17,1.97638,2.46243,1.47168,0.00242,0.26994,0.06851,0.03784,2.38725,4.84135,1.77775,0.00105691,0.00105691,0.00105691
13,1389.91,1.85096,2.54116,1.46002,0.58847,0.05379,0.11198,0.06345,2.25285,4.63655,1.66377,0.00113331,0.00113331,0.00113331
14,1479.75,1.85708,2.3699,1.46963,0.36501,0.09364,0.11045,0.04805,2.29436,4.44174,1.63493,0.00120774,0.00120774,0.00120774
15,1562.95,1.93911,4.39486,1.56788,0.24867,0.19872,0.14501,0.06041,2.36494,4.79097,1.68588,0.00123094,0.00123094,0.00123094
16,1652.13,1.90361,2.35228,1.46662,0.23657,0.17289,0.13546,0.06254,2.42844,4.98457,1.73778,0.00121679,0.00121679,0.00121679
17,1747.18,1.97647,2.42802,1.52315,0.22834,0.17564,0.14877,0.07057,2.39237,4.77354,1.72335,0.00120265,0.00120265,0.00120265
18,1842.97,1.96254,2.46406,1.45215,0.22321,0.23994,0.15419,0.07427,2.35077,4.64665,1.6687,0.0011885,0.0011885,0.0011885
19,1917.91,1.94218,2.35177,1.43968,0.20813,0.30626,0.12191,0.05378,2.24968,5.36774,1.64104,0.00117435,0.00117435,0.00117435
20,2048.42,1.9501,2.29988,1.47521,0.21742,0.34565,0.20159,0.10335,2.18446,4.42386,1.5997,0.00116021,0.00116021,0.00116021
21,2185.66,1.8393,2.21506,1.4469,0.17469,0.32032,0.18206,0.09161,2.31172,4.53215,1.68935,0.00114606,0.00114606,0.00114606
22,2296.17,1.91556,2.3539,1.47227,0.36558,0.32078,0.1992,0.10384,2.25844,4.09629,1.68152,0.00113191,0.00113191,0.00113191
23,2386.67,1.9328,2.31472,1.44201,0.15122,0.2282,0.11429,0.0491,2.14817,3.85951,1.65444,0.00111776,0.00111776,0.00111776
24,2466.15,1.9572,2.22584,1.48653,0.27857,0.29816,0.19756,0.08128,2.0401,3.31038,1.60444,0.00110362,0.00110362,0.00110362
25,2593.87,1.84121,2.35775,1.44233,0.37039,0.29738,0.21987,0.09534,2.03058,3.24988,1.56019,0.00108947,0.00108947,0.00108947
26,2710.1,1.80321,2.18511,1.43088,0.37716,0.30669,0.23596,0.10997,2.07068,3.4675,1.59658,0.00107532,0.00107532,0.00107532
27,2810.12,1.92264,2.31051,1.47496,0.35637,0.23786,0.13097,0.04984,2.13658,3.70796,1.65646,0.00106118,0.00106118,0.00106118
28,2894.67,1.88214,2.1888,1.43536,0.45931,0.26725,0.13614,0.05888,2.07162,3.72193,1.61334,0.00104703,0.00104703,0.00104703
29,3031.7,1.83988,2.01299,1.42712,0.39731,0.26785,0.15189,0.06541,2.11519,3.7108,1.64367,0.00103288,0.00103288,0.00103288
30,3136.45,1.81608,1.99177,1.45999,0.24871,0.28354,0.11584,0.05153,2.25452,3.72417,1.73652,0.00101873,0.00101873,0.00101873
31,3231.02,1.7894,1.98314,1.4129,0.47877,0.14437,0.08195,0.03397,2.27171,3.98225,1.80579,0.00100459,0.00100459,0.00100459
32,3365.04,1.82481,1.91611,1.41954,0.28822,0.25037,0.12185,0.05358,2.09407,3.80627,1.68684,0.00099044,0.00099044,0.00099044
33,3450.09,1.8345,1.95126,1.4125,0.34983,0.29794,0.19193,0.08604,2.09918,3.40731,1.64927,0.000976293,0.000976293,0.000976293
34,3555.29,1.78282,2.13566,1.38127,0.33968,0.29443,0.19876,0.08589,2.17948,3.36776,1.69161,0.000962146,0.000962146,0.000962146
35,3660.2,1.78364,1.9021,1.36265,0.29349,0.34075,0.17223,0.07417,2.06953,3.35642,1.59682,0.000947999,0.000947999,0.000947999
36,3784.74,1.86158,2.14968,1.47373,0.38209,0.28453,0.24965,0.12157,2.02362,2.99144,1.54488,0.000933851,0.000933851,0.000933851
37,3968.98,1.49812,6.26627,1.15649,0.5323,0.29868,0.23949,0.12201,2.07003,2.90125,1.57914,0.000919704,0.000919704,0.000919704
38,4083.88,1.77871,2.0053,1.3795,0.1607,0.1525,0.07961,0.03553,2.13488,3.73242,1.67078,0.000905557,0.000905557,0.000905557
39,4201.34,1.72136,1.88504,1.34531,0.14653,0.17808,0.08654,0.037,2.04648,3.66036,1.6371,0.00089141,0.00089141,0.00089141
40,4290.66,1.71611,1.92767,1.33533,0.29322,0.31233,0.19571,0.09669,2.05647,3.42678,1.6423,0.000877263,0.000877263,0.000877263
41,4394.23,1.63148,1.80362,1.31926,0.3041,0.33273,0.23194,0.11221,2.07632,3.28517,1.64891,0.000863116,0.000863116,0.000863116
42,4494.87,1.68566,1.67942,1.33839,0.24773,0.33036,0.19838,0.0903,2.05577,3.44314,1.60921,0.000848969,0.000848969,0.000848969
43,4618.14,1.63828,1.67203,1.28504,0.31084,0.34826,0.2152,0.09405,1.98925,3.40563,1.55184,0.000834822,0.000834822,0.000834822
44,4708.62,1.69075,1.68282,1.33321,0.29444,0.47709,0.32031,0.15665,1.97436,2.90341,1.51458,0.000820675,0.000820675,0.000820675
45,4795.02,1.66412,1.72302,1.3434,0.35561,0.48275,0.38428,0.19027,1.99856,2.78899,1.52965,0.000806528,0.000806528,0.000806528
46,4878.32,1.66675,1.87782,1.37185,0.44459,0.37957,0.38034,0.19474,2.03393,2.66961,1.53461,0.00079238,0.00079238,0.00079238
47,4980.73,1.679,1.67982,1.32165,0.35661,0.49895,0.36566,0.16978,1.9999,2.63904,1.48646,0.000778233,0.000778233,0.000778233
48,5098.82,1.63277,1.58783,1.31986,0.39264,0.52757,0.40419,0.19892,1.96688,2.79187,1.50749,0.000764086,0.000764086,0.000764086
49,5277.94,1.61396,1.71345,1.29273,0.51086,0.49521,0.43108,0.22136,1.94031,2.74402,1.50329,0.000749939,0.000749939,0.000749939
50,5463.42,1.59873,1.64278,1.27664,0.45213,0.4946,0.44161,0.21714,2.02698,2.71481,1.54367,0.000735792,0.000735792,0.000735792
51,5570.47,1.56677,1.61795,1.26132,0.56092,0.48005,0.47265,0.25306,1.93926,2.48356,1.4821,0.000721645,0.000721645,0.000721645
52,5692.94,1.65005,1.58517,1.28199,0.50038,0.55353,0.44585,0.24884,1.8686,2.38177,1.4717,0.000707498,0.000707498,0.000707498
53,5823.9,1.71344,1.62963,1.28015,0.53354,0.5481,0.4354,0.24178,1.88474,2.35789,1.48331,0.000693351,0.000693351,0.000693351
54,5944.06,1.61107,1.55193,1.23657,0.56698,0.4437,0.44488,0.23475,1.93193,2.33136,1.47497,0.000679204,0.000679204,0.000679204
55,6049.4,1.56714,2.00812,1.23141,0.61617,0.39773,0.44705,0.22078,1.9898,2.37706,1.49808,0.000665057,0.000665057,0.000665057
56,6155.86,1.59552,1.62359,1.28413,0.4013,0.42829,0.33951,0.16349,1.95402,2.57062,1.50778,0.000650909,0.000650909,0.000650909
57,6292.05,1.58811,1.50533,1.26229,0.4817,0.40878,0.34939,0.17672,1.86407,2.5742,1.45565,0.000636762,0.000636762,0.000636762
58,6386.51,1.52054,1.53483,1.25162,0.39755,0.49172,0.43669,0.23096,1.81999,2.57349,1.42602,0.000622615,0.000622615,0.000622615
59,6534.09,1.52004,1.40038,1.22423,0.40077,0.53196,0.43812,0.20751,1.89389,2.59683,1.45388,0.000608468,0.000608468,0.000608468
60,6658.61,1.55107,1.59853,1.22291,0.36738,0.489,0.35607,0.16375,1.88993,2.56093,1.46354,0.000594321,0.000594321,0.000594321
61,6794.74,1.56773,1.49025,1.25714,0.33094,0.45449,0.31333,0.14524,1.90706,2.55235,1.49243,0.000580174,0.000580174,0.000580174
62,6906.46,1.53857,1.6133,1.29511,0.29582,0.44693,0.28193,0.1309,1.91961,2.60229,1.51377,0.000566027,0.000566027,0.000566027
63,7065.5,1.50273,1.40667,1.20726,0.36133,0.54273,0.34878,0.18099,1.92654,2.45457,1.5079,0.00055188,0.00055188,0.00055188
64,7195.09,1.49641,1.56964,1.21079,0.45073,0.53048,0.42788,0.22358,1.92715,2.3081,1.49876,0.000537733,0.000537733,0.000537733
65,7315.57,1.59903,1.46255,1.21672,0.43364,0.56653,0.45234,0.23838,1.88893,2.24914,1.47625,0.000523586,0.000523586,0.000523586
66,7430.86,1.47294,1.36274,1.20493,0.38946,0.5726,0.49739,0.26927,1.86256,2.22088,1.46428,0.000509438,0.000509438,0.000509438
67,7550.83,1.52925,1.38846,1.25857,0.4473,0.4921,0.41141,0.20978,1.9307,2.31847,1.48734,0.000495291,0.000495291,0.000495291
