epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.6282,4.33658,30.8792,2.51873,0.00063,0.00855,0.00032,0.00016,7.02278,12.275,4.15779,1.429e-05,1.429e-05,1.429e-05
2,76.3098,5.34026,20.5073,3.16237,0.00063,0.00855,0.00032,6e-05,7.02278,12.288,4.1565,4.26578e-05,4.26578e-05,4.26578e-05
3,105.185,6.73197,15.5788,4.16805,0.00121,0.01709,0.00064,9e-05,7.02196,12.2527,4.15036,7.07426e-05,7.07426e-05,7.07426e-05
4,131.4,4.00125,17.4693,2.36101,0.00061,0.00855,0.00032,9e-05,7.01987,12.2823,4.13568,9.85446e-05,9.85446e-05,9.85446e-05
5,154.83,6.9609,23.5971,4.05466,0.00111,0.01709,0.00413,0.00089,7.01683,12.0271,4.1176,0.000126064,0.000126064,0.000126064
6,182.999,4.50115,30.0964,2.53207,0.00111,0.01709,0.00067,0.00021,7.01355,11.9245,4.09605,0.0001533,0.0001533,0.0001533
7,209.171,6.9048,10.834,3.91365,0.00055,0.00855,0.00037,0.00011,7.00685,11.3925,4.05521,0.000180253,0.000180253,0.000180253
8,243.319,6.85175,18.5765,3.77772,0.00053,0.00855,0.00034,0.00014,6.99337,10.3147,3.97772,0.000206923,0.000206923,0.000206923
9,269.719,6.87629,14.2285,3.81945,0.00054,0.00855,0.00033,3e-05,6.98326,9.90749,3.92054,0.00023331,0.00023331,0.00023331
10,299.287,4.44829,16.2315,2.66009,0.00104,0.01709,0.00083,0.0002,6.96558,9.01909,3.83714,0.000259414,0.000259414,0.000259414
11,332.007,6.81146,9.05973,3.90184,0.00105,0.01709,0.00243,0.00062,6.94425,7.79685,3.75344,0.000285236,0.000285236,0.000285236
12,360.495,6.90894,16.6234,3.93197,0.00103,0.01709,0.00215,0.00061,6.91844,6.85732,3.6588,0.000310774,0.000310774,0.000310774
13,388.189,6.69394,6.78559,3.39457,0.00104,0.01709,0.00456,0.00069,6.88294,6.27621,3.53294,0.000336029,0.000336029,0.000336029
14,411.684,4.98264,10.4627,2.86055,0.00053,0.00855,0.00029,9e-05,6.82725,5.79472,3.38636,0.000361002,0.000361002,0.000361002
15,435.013,6.15663,9.76162,3.88059,0.00087,0.01709,0.00054,0.00013,6.73382,4.92557,3.23028,0.000385691,0.000385691,0.000385691
16,464.393,6.80094,6.13163,3.53083,0.0005,0.01709,0.00099,0.00013,6.60086,4.24854,3.09159,0.000410098,0.000410098,0.000410098
17,485.228,5.26726,10.5791,2.69255,0.00042,0.01709,0.00031,6e-05,6.35944,3.94322,2.92261,0.000434222,0.000434222,0.000434222
18,522.45,6.65764,6.38569,3.82008,0.00057,0.02564,0.00034,7e-05,5.86864,3.66357,2.73921,0.000458062,0.000458062,0.000458062
19,554.22,6.25146,6.08667,3.15505,0.00089,0.04274,0.00061,0.00012,5.18231,3.36344,2.55334,0.00048162,0.00048162,0.00048162
20,580.982,6.56784,5.73521,3.25482,0.00083,0.05128,0.00055,0.00021,4.72992,3.63396,2.44372,0.000504895,0.000504895,0.000504895
21,601.818,6.50067,6.53446,3.25568,0.00083,0.05128,0.00055,0.00021,4.5442,3.26571,2.41613,0.000527887,0.000527887,0.000527887
22,630.102,6.2289,5.82502,2.88156,0.00139,0.08547,0.0011,0.00022,4.50588,3.20791,2.4314,0.000550596,0.000550596,0.000550596
23,659.182,6.06762,5.83085,2.71076,0.00111,0.06838,0.00083,0.00018,4.50077,3.39233,2.47214,0.000573022,0.000573022,0.000573022
24,683.656,4.80699,4.54599,2.77604,0.00083,0.05128,0.00054,0.00012,4.56816,3.86558,2.55535,0.000595165,0.000595165,0.000595165
25,707.966,5.10003,5.18781,2.71962,0.00097,0.05983,0.00071,0.00014,4.57712,4.59389,2.64405,0.000617025,0.000617025,0.000617025
26,738.091,5.39584,4.20503,2.94975,0.00086,0.05128,0.00062,0.00012,4.61251,6.0385,2.64983,0.000638602,0.000638602,0.000638602
27,767.451,4.99194,4.41892,2.23265,0.00069,0.04274,0.00054,0.00011,4.7205,4.50279,2.62375,0.000659896,0.000659896,0.000659896
28,790.5,5.96698,6.17644,2.7345,0.00069,0.04274,0.00054,0.00011,4.7205,4.50279,2.62375,0.000680908,0.000680908,0.000680908
29,811.002,5.71068,5.00669,2.56564,0.00056,0.03419,0.00046,7e-05,4.93445,3.46187,2.60241,0.000701636,0.000701636,0.000701636
30,841.938,5.15874,4.08544,2.22573,0.00028,0.01709,0.00016,2e-05,5.15902,3.43765,2.54466,0.000722082,0.000722082,0.000722082
31,867.852,5.89432,6.74864,2.27443,0.00028,0.01709,0.00016,2e-05,5.15902,3.43765,2.54466,0.000742244,0.000742244,0.000742244
