epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.3898,5.71061,18.6409,3.43551,0.00058,0.00855,0.0003,6e-05,7.02268,12.2785,4.15618,2.858e-05,2.858e-05,2.858e-05
2,57.3179,6.83966,9.3633,4.10393,0.00058,0.00855,0.0003,3e-05,7.02118,12.2172,4.14405,7.07426e-05,7.07426e-05,7.07426e-05
3,83.5806,6.88055,18.6391,3.87874,0.00058,0.00855,0.0003,6e-05,7.01844,12.1509,4.12419,0.000112056,0.000112056,0.000112056
4,105.426,6.84791,18.3828,3.80639,0.00123,0.01709,0.00064,0.00016,7.01172,11.7698,4.07667,0.000152521,0.000152521,0.000152521
5,130.757,6.76635,13.8896,4.42379,0.00119,0.01709,0.00063,0.00013,7.00658,11.4293,4.04135,0.000192138,0.000192138,0.000192138
6,155.575,6.42979,14.6844,3.50577,0.00053,0.00855,0.0013,0.00052,6.99047,10.6608,3.94188,0.000230905,0.000230905,0.000230905
7,178.16,6.74559,10.7865,4.0088,0.00106,0.01709,0.00355,0.00097,6.97939,9.68966,3.88425,0.000268823,0.000268823,0.000268823
8,201.198,6.51831,15.25,3.48455,0.00104,0.01709,0.00354,0.001,6.96506,8.76903,3.81022,0.000305893,0.000305893,0.000305893
9,226.394,6.84944,8.78824,3.81923,0.00104,0.01709,0.00452,0.00106,6.94399,8.1302,3.71746,0.000342114,0.000342114,0.000342114
10,244.689,6.96005,11.5895,3.77451,0.00104,0.01709,0.00358,0.00089,6.91203,6.8242,3.60186,0.000377486,0.000377486,0.000377486
11,269.865,6.56747,11.9014,3.67385,0.00104,0.01709,0.00599,0.00076,6.85998,5.44013,3.45574,0.000412009,0.000412009,0.000412009
12,293.796,3.90307,13.5629,2.015,0.00104,0.01709,0.00457,0.0007,6.78425,4.81807,3.29266,0.000445684,0.000445684,0.000445684
13,319.986,6.76099,8.35098,3.52709,0.00025,0.00855,0.00105,0.00022,6.65078,4.32654,3.10203,0.000478509,0.000478509,0.000478509
14,346.398,6.84022,6.02749,3.3686,0.00044,0.01709,0.00024,6e-05,6.42065,3.90607,2.91473,0.000510486,0.000510486,0.000510486
15,369.951,6.44217,5.38907,3.36413,0.00044,0.01709,0.00024,6e-05,6.42065,3.90607,2.91473,0.000541614,0.000541614,0.000541614
16,396.184,6.68756,6.46701,3.02095,0.00041,0.01709,0.00023,6e-05,6.07618,3.751,2.75835,0.000571893,0.000571893,0.000571893
17,423.401,6.38894,5.37193,2.79731,0.00056,0.02564,0.00035,7e-05,5.40607,3.60021,2.55824,0.000601323,0.000601323,0.000601323
18,450.188,6.46143,6.03805,3.07041,0.00056,0.02564,0.00035,7e-05,5.40607,3.60021,2.55824,0.000629905,0.000629905,0.000629905
19,472.232,6.23357,5.7765,2.70126,0.00085,0.04274,0.00061,0.00021,4.91109,3.43934,2.42698,0.000657637,0.000657637,0.000657637
20,501.565,5.63755,4.40089,2.52493,0.00083,0.05128,0.00054,0.00016,4.70838,4.06653,2.35878,0.000684521,0.000684521,0.000684521
21,525.731,4.28169,10.2061,2.25451,0.00083,0.05128,0.00054,0.00016,4.70838,4.06653,2.35878,0.000710556,0.000710556,0.000710556
22,544.917,5.86785,4.5095,2.87182,0,0,0,0,4.41961,3.65191,2.36204,0.000735742,0.000735742,0.000735742
23,568.513,6.06036,5.77233,2.67676,0,0,0,0,4.41961,3.65191,2.36204,0.000760079,0.000760079,0.000760079
24,591.689,5.95406,4.45248,2.72663,0,0,0,0,4.46817,4.14695,2.50145,0.000783568,0.000783568,0.000783568
25,620.888,5.88275,5.59064,2.95366,0,0,0,0,4.46817,4.14695,2.50145,0.000806208,0.000806208,0.000806208
26,648.541,5.70211,4.97571,2.55527,0.00058,0.06667,0.00041,0.00011,4.6339,4.06978,2.77534,0.000827998,0.000827998,0.000827998
27,676.302,5.40028,4.47584,2.54762,0.00058,0.06667,0.00041,0.00011,4.6339,4.06978,2.77534,0.00084894,0.00084894,0.00084894
28,703.615,6.0074,4.60641,2.37314,0.00043,0.06667,0.00035,8e-05,4.69585,3.60794,2.75404,0.000869033,0.000869033,0.000869033
29,729.121,6.07811,3.83308,2.42518,0.00043,0.06667,0.00035,8e-05,4.69585,3.60794,2.75404,0.000888278,0.000888278,0.000888278
30,755.046,5.69907,4.58732,2.5982,0.00043,0.06667,0.00035,8e-05,4.69585,3.60794,2.75404,0.000906673,0.000906673,0.000906673
31,775.532,5.62196,4.10323,2.76766,0.00051,0.06667,0.00044,0.00011,4.68073,3.30003,2.67318,0.00092422,0.00092422,0.00092422
32,803.801,5.71625,4.55889,2.50747,0.00051,0.06667,0.00044,0.00011,4.68073,3.30003,2.67318,0.000940918,0.000940918,0.000940918
33,827.13,5.39174,3.90082,2.35422,0.00111,0.06838,0.00078,0.00015,4.57237,3.22579,2.42486,0.000956767,0.000956767,0.000956767
34,857.744,5.03518,4.06694,2.5822,0.00111,0.06838,0.00078,0.00015,4.57237,3.22579,2.42486,0.000962146,0.000962146,0.000962146
35,884.967,3.54325,5.31285,1.56458,0.00111,0.06838,0.00078,0.00015,4.57237,3.22579,2.42486,0.000947999,0.000947999,0.000947999
36,905.627,5.03296,5.30073,2.27459,0.00127,0.04274,0.0008,0.00022,4.74387,3.69167,2.21337,0.000933851,0.000933851,0.000933851
37,932.646,4.94835,3.45127,2.29749,0.00127,0.04274,0.0008,0.00022,4.74387,3.69167,2.21337,0.000919704,0.000919704,0.000919704
38,958.077,4.5594,3.29193,2.25052,0.00127,0.04274,0.0008,0.00022,4.74387,3.69167,2.21337,0.000905557,0.000905557,0.000905557
39,981.443,5.12376,3.63423,2.50655,0.00168,0.05128,0.0011,0.0002,4.83543,3.95143,2.25555,0.00089141,0.00089141,0.00089141
40,1008.86,4.98895,3.45369,2.00968,0.00168,0.05128,0.0011,0.0002,4.83543,3.95143,2.25555,0.000877263,0.000877263,0.000877263
41,1034.35,4.90599,3.12197,2.28452,0.00164,0.05983,0.00132,0.00016,4.56741,3.81451,2.27297,0.000863116,0.000863116,0.000863116
42,1059.31,4.92882,4.57112,1.92136,0.00164,0.05983,0.00132,0.00016,4.56741,3.81451,2.27297,0.000848969,0.000848969,0.000848969
43,1083.97,4.75656,3.31861,2.25313,0.00164,0.05983,0.00132,0.00016,4.56741,3.81451,2.27297,0.000834822,0.000834822,0.000834822
44,1108.18,4.71071,3.23685,2.20703,0.00056,0.03419,0.00049,0.00012,4.73773,3.33245,2.47015,0.000820675,0.000820675,0.000820675
45,1134.99,4.90825,3.71446,2.24356,0.00056,0.03419,0.00049,0.00012,4.73773,3.33245,2.47015,0.000806528,0.000806528,0.000806528
46,1158.18,5.00452,3.38976,2.2476,0.00056,0.03419,0.00049,0.00012,4.73773,3.33245,2.47015,0.00079238,0.00079238,0.00079238
47,1180.08,5.06625,4.12417,2.29858,0.00044,0.02564,0.00026,3e-05,5.08877,3.46237,2.69563,0.000778233,0.000778233,0.000778233
