epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.4913,2.37733,1.89073,1.34014,0.64822,0.48718,0.56185,0.23795,2.21304,1.82843,1.45791,1.667e-05,1.667e-05,1.667e-05
2,84.7232,2.27451,1.7853,1.30908,0.56297,0.49231,0.53974,0.22045,2.32718,1.86363,1.48661,4.95149e-05,4.95149e-05,4.95149e-05
3,106.678,2.11346,1.61491,1.27069,0.47657,0.51282,0.49747,0.18991,2.50155,1.94131,1.56823,8.16997e-05,8.16997e-05,8.16997e-05
4,127.315,2.3045,1.64053,1.28272,0.43003,0.5,0.44464,0.17429,2.63012,1.96411,1.61541,0.000113224,0.000113224,0.000113224
5,146.345,2.11832,1.58195,1.30301,0.39872,0.50769,0.47764,0.19695,2.59989,1.92008,1.59404,0.000144089,0.000144089,0.000144089
6,167.807,2.27603,1.57921,1.28182,0.3776,0.56667,0.48246,0.21031,2.46099,1.85169,1.53419,0.000174293,0.000174293,0.000174293
7,186.181,2.15629,1.63313,1.26721,0.62345,0.39744,0.52379,0.22169,2.40723,1.86127,1.49817,0.000203837,0.000203837,0.000203837
8,202.5,2.19254,1.72672,1.26521,0.71395,0.42421,0.55693,0.2326,2.3708,1.84585,1.44683,0.000232722,0.000232722,0.000232722
9,221.086,2.12407,1.63918,1.19728,0.41079,0.4971,0.55448,0.22466,2.34944,1.89399,1.43622,0.000260946,0.000260946,0.000260946
10,239.773,2.23123,1.69302,1.21079,0.47451,0.51538,0.55919,0.21667,2.32209,1.95201,1.42428,0.000288509,0.000288509,0.000288509
11,255.441,2.02596,1.56536,1.24708,0.48592,0.49573,0.54519,0.20309,2.32408,2.00468,1.4268,0.000315413,0.000315413,0.000315413
12,273.143,2.13914,1.63621,1.28514,0.48926,0.45641,0.54345,0.19786,2.3391,2.01823,1.42838,0.000341657,0.000341657,0.000341657
13,291.207,2.01275,1.6261,1.25904,0.52561,0.46923,0.53812,0.198,2.40601,2.03506,1.46485,0.00036724,0.00036724,0.00036724
14,308.112,2.07965,1.69801,1.22563,0.56236,0.44387,0.52453,0.19476,2.42039,2.04802,1.48874,0.000392163,0.000392163,0.000392163
15,324.363,1.98931,1.55137,1.22638,0.52259,0.43077,0.50365,0.19774,2.36354,2.05787,1.46951,0.000416427,0.000416427,0.000416427
16,341.819,2.00835,1.51517,1.22361,0.46357,0.41795,0.5019,0.19739,2.35632,2.05503,1.45192,0.00044003,0.00044003,0.00044003
17,360.453,2.03942,1.66359,1.30303,0.44484,0.49744,0.52179,0.20866,2.35764,2.04717,1.44211,0.000462973,0.000462973,0.000462973
18,379.215,1.96391,1.4971,1.23422,0.44711,0.4768,0.46975,0.17237,2.39217,2.05186,1.43924,0.000485255,0.000485255,0.000485255
19,401.601,2.09112,1.46444,1.27288,0.43652,0.45508,0.47936,0.16708,2.44154,2.06995,1.43968,0.000506878,0.000506878,0.000506878
20,421.878,2.00901,1.54106,1.24168,0.50989,0.47692,0.49078,0.15947,2.46384,2.11106,1.42212,0.000527841,0.000527841,0.000527841
21,441.334,2.12917,1.48167,1.21363,0.58898,0.48974,0.49631,0.18514,2.42583,2.12862,1.40922,0.000548143,0.000548143,0.000548143
