epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.222,1.64754,3.53585,1.24144,0.00518,0.15897,0.06074,0.01878,2.055,3.86721,1.58621,0.098002,2e-06,2e-06
2,32.2568,1.76544,3.47025,1.31853,0.00418,0.15043,0.04838,0.0127,2.0394,3.82585,1.58553,0.095005,4.99878e-06,4.99878e-06
3,45.7408,1.69738,3.41145,1.28837,0.00414,0.15043,0.05098,0.01303,2.03323,3.78864,1.58355,0.092008,7.99219e-06,7.99219e-06
4,61.4026,1.68069,3.31624,1.25417,0.00411,0.15043,0.05106,0.01361,2.01885,3.74869,1.57499,0.089011,1.09758e-05,1.09758e-05
5,79.343,1.72224,3.2999,1.26603,0.0041,0.15043,0.05146,0.01365,2.0076,3.72072,1.55889,0.0860139,1.39454e-05,1.39454e-05
6,97.204,1.78565,3.30839,1.31961,0.0041,0.15043,0.04925,0.01348,1.98617,3.67727,1.54954,0.0830169,1.68964e-05,1.68964e-05
7,111.597,1.77334,3.2384,1.30107,0.00408,0.15043,0.06036,0.01877,1.97801,3.6571,1.54351,0.0800198,1.98246e-05,1.98246e-05
8,132.317,1.92465,3.29819,1.35792,0.00407,0.15043,0.05986,0.01858,1.97553,3.6329,1.53564,0.0770227,2.27258e-05,2.27258e-05
9,150.954,1.72409,3.15524,1.26566,0.00477,0.17607,0.07388,0.02008,1.96918,3.60949,1.53285,0.0740256,2.55957e-05,2.55957e-05
10,167.894,1.88113,3.17257,1.34963,0.00769,0.29573,0.07488,0.02109,1.96465,3.587,1.52981,0.0710284,2.843e-05,2.843e-05
11,187.64,1.8182,3.15812,1.33298,0.00722,0.32991,0.10728,0.03038,1.96001,3.56637,1.52863,0.0680312,3.12247e-05,3.12247e-05
