epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6502,1.57737,3.4081,1.20507,0.0054,0.15897,0.06044,0.01888,2.05387,3.86324,1.58924,0.098004,4e-06,4e-06
2,27.0577,1.63554,3.3929,1.23005,0.00448,0.15897,0.06202,0.01888,2.04366,3.82219,1.58721,0.09501,9.99756e-06,9.99756e-06
3,45.4625,1.75505,3.42569,1.2814,0.00438,0.15897,0.06171,0.01883,2.02811,3.78533,1.57902,0.092016,1.59844e-05,1.59844e-05
4,60.6849,1.71453,3.33948,1.24635,0.0043,0.15897,0.05853,0.02005,2.01552,3.74251,1.56165,0.089022,2.19517e-05,2.19517e-05
5,74.5053,1.66371,3.24748,1.23497,0.00405,0.15043,0.05947,0.02075,2.006,3.72082,1.55168,0.0860279,2.78907e-05,2.78907e-05
6,84.7272,1.59894,3.24334,1.20194,0.00378,0.14188,0.05727,0.02092,1.98698,3.68293,1.53803,0.0830338,3.37928e-05,3.37928e-05
7,97.0012,1.77117,3.26134,1.32583,0.00427,0.15897,0.06742,0.02198,1.98097,3.66103,1.53049,0.0800396,3.96493e-05,3.96493e-05
8,111.288,1.56419,3.15091,1.13682,0.004,0.15043,0.06463,0.02138,1.97822,3.64378,1.5291,0.0770455,4.54516e-05,4.54516e-05
9,123.793,1.5233,3.11132,1.17813,0.00469,0.17607,0.06601,0.02166,1.975,3.62397,1.52573,0.0740512,5.11913e-05,5.11913e-05
10,139.201,1.83955,3.23234,1.34537,0.0071,0.27009,0.0678,0.02276,1.9704,3.60448,1.52818,0.0710569,5.686e-05,5.686e-05
11,151.377,1.64853,3.10175,1.17867,0.00777,0.32991,0.07366,0.02482,1.96984,3.58403,1.52479,0.0680624,6.24495e-05,6.24495e-05
12,164.5,1.6506,3.00945,1.33912,0.00735,0.32991,0.12677,0.03771,1.97263,3.56199,1.52063,0.065068,6.79515e-05,6.79515e-05
13,176.291,1.67385,2.99625,1.21135,0.01843,0.32991,0.16898,0.05967,1.9737,3.53557,1.51557,0.0620734,7.33582e-05,7.33582e-05
14,190.245,1.59286,2.97819,1.19403,0.05265,0.32991,0.19322,0.07556,1.97566,3.51215,1.51546,0.0590787,7.86617e-05,7.86617e-05
15,205.767,1.58533,3.03146,1.27773,0.05265,0.32991,0.19322,0.07556,1.97566,3.51215,1.51546,0.0560839,8.38543e-05,8.38543e-05
16,222.531,1.72305,3.09029,1.33319,0.08835,0.32991,0.21895,0.09028,1.96825,3.48512,1.50209,0.0530889,8.89285e-05,8.89285e-05
17,234.103,1.6341,3.04935,1.22472,0.08834,0.32991,0.21852,0.09012,1.9661,3.46298,1.49677,0.0500939,9.38772e-05,9.38772e-05
18,246.678,1.57983,2.87431,1.2027,0.08834,0.32991,0.21852,0.09012,1.9661,3.46298,1.49677,0.0470987,9.86931e-05,9.86931e-05
19,262.228,1.8557,2.93966,1.32703,0.0882,0.32137,0.22128,0.09297,1.96596,3.43514,1.49461,0.0441034,0.00010337,0.00010337
20,276.875,1.65051,2.84505,1.27357,0.11598,0.32137,0.23686,0.10221,1.96361,3.40418,1.49017,0.0411079,0.0001079,0.0001079
